- 1131628690 2005.11.10 R47-M1-N4-C:J17-U11 2005-11-10-05.18.10.121515 R47-M1-N4-C:J17-U11 RAS KERNEL INFO CE sym 27, at 0x0017e4c0, mask 0x11
- 1131638494 2005.11.10 R57-M1-N5-C:J15-U11 2005-11-10-08.01.34.197796 R57-M1-N5-C:J15-U11 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 252 out of 1024 #ofDirtyDblWord: 937 out of 4096
- 1131638494 2005.11.10 R32-M0-N9-C:J15-U01 2005-11-10-08.01.34.557223 R32-M0-N9-C:J15-U01 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 266 out of 1024 #ofDirtyDblWord: 987 out of 4096
- 1131638495 2005.11.10 R01-M0-N3-C:J13-U11 2005-11-10-08.01.35.209145 R01-M0-N3-C:J13-U11 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 259 out of 1024 #ofDirtyDblWord: 958 out of 4096
- 1131638495 2005.11.10 R22-M1-N8-C:J09-U01 2005-11-10-08.01.35.633980 R22-M1-N8-C:J09-U01 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 276 out of 1024 #ofDirtyDblWord: 1026 out of 4096
- 1131638497 2005.11.10 R04-M1-N7-C:J09-U01 2005-11-10-08.01.37.183930 R04-M1-N7-C:J09-U01 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 311 out of 1024 #ofDirtyDblWord: 1157 out of 4096
- 1131638497 2005.11.10 R44-M0-N3-C:J12-U01 2005-11-10-08.01.37.529809 R44-M0-N3-C:J12-U01 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 264 out of 1024 #ofDirtyDblWord: 979 out of 4096
- 1131638498 2005.11.10 R12-M1-N5-C:J14-U11 2005-11-10-08.01.38.721427 R12-M1-N5-C:J14-U11 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 298 out of 1024 #ofDirtyDblWord: 1112 out of 4096
- 1131638498 2005.11.10 R11-M0-N7-C:J12-U01 2005-11-10-08.01.38.909943 R11-M0-N7-C:J12-U01 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 314 out of 1024 #ofDirtyDblWord: 1167 out of 4096
- 1131638499 2005.11.10 R52-M1-N3-C:J08-U01 2005-11-10-08.01.39.673174 R52-M1-N3-C:J08-U01 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 288 out of 1024 #ofDirtyDblWord: 1077 out of 4096
- 1131638500 2005.11.10 R32-M1-N8-C:J04-U11 2005-11-10-08.01.40.270333 R32-M1-N8-C:J04-U11 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 317 out of 1024 #ofDirtyDblWord: 1179 out of 4096
- 1131638501 2005.11.10 R04-M0-N3-C:J02-U01 2005-11-10-08.01.41.557323 R04-M0-N3-C:J02-U01 RAS KERNEL INFO L1 DCACHE summary averages: #ofDirtyLines: 280 out of 1024 #ofDirtyDblWord: 1046 out of 4096
- 1131640371 2005.11.10 R65-M1-N6-C:J17-U01 2005-11-10-08.32.51.350419 R65-M1-N6-C:J17-U01 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 15, bit 7
- 1131640371 2005.11.10 R73-M1-N6-C:J15-U11 2005-11-10-08.32.51.491860 R73-M1-N6-C:J15-U11 RAS KERNEL INFO 24 torus receiver x- input pipe error(s) (dcr 0x02ed) detected and corrected
- 1131640371 2005.11.10 R73-M1-N7-C:J03-U11 2005-11-10-08.32.51.701033 R73-M1-N7-C:J03-U11 RAS KERNEL INFO 24 torus sender x+ retransmission error(s) (dcr 0x02f4) detected and corrected
- 1131640372 2005.11.10 R65-M1-N6-C:J17-U01 2005-11-10-08.32.52.074186 R65-M1-N6-C:J17-U01 RAS KERNEL INFO CE sym 15, at 0x0ea34280, mask 0x01
- 1131640372 2005.11.10 R73-M1-N6-C:J15-U11 2005-11-10-08.32.52.165848 R73-M1-N6-C:J15-U11 RAS KERNEL INFO 4 torus sender x- retransmission error(s) (dcr 0x02f5) detected and corrected
- 1131640372 2005.11.10 R65-M1-N6-C:J17-U01 2005-11-10-08.32.52.532946 R65-M1-N6-C:J17-U01 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
- 1131640372 2005.11.10 R73-M1-N6-C:J15-U11 2005-11-10-08.32.52.620738 R73-M1-N6-C:J15-U11 RAS KERNEL INFO 24 torus non-crc error(s) (dcr 0x02fd) detected and corrected
- 1131653404 2005.11.10 R65-M1-N6-C:J17-U01 2005-11-10-12.10.04.866588 R65-M1-N6-C:J17-U01 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 15, bit 7
- 1131653405 2005.11.10 R65-M1-N6-C:J17-U01 2005-11-10-12.10.05.424186 R65-M1-N6-C:J17-U01 RAS KERNEL INFO CE sym 15, at 0x0ea34280, mask 0x01
- 1131653405 2005.11.10 R30-M1-N2-C:J13-U01 2005-11-10-12.10.05.978566 R30-M1-N2-C:J13-U01 RAS KERNEL INFO 2 ddr errors(s) detected and corrected on rank 0, symbol 34, bit 1
- 1131653406 2005.11.10 R50-M0-N2-C:J13-U11 2005-11-10-12.10.06.090007 R50-M0-N2-C:J13-U11 RAS KERNEL INFO 4 ddr errors(s) detected and corrected on rank 0, symbol 15, bit 3
- 1131653408 2005.11.10 R35-M1-N8-C:J03-U01 2005-11-10-12.10.08.136278 R35-M1-N8-C:J03-U01 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 14, bit 5
- 1131653408 2005.11.10 R51-M1-N4-C:J11-U01 2005-11-10-12.10.08.788816 R51-M1-N4-C:J11-U01 RAS KERNEL INFO 1 torus sender x+ retransmission error(s) (dcr 0x02f4) detected and corrected
- 1131653409 2005.11.10 R63-M1-N7-C:J10-U01 2005-11-10-12.10.09.006362 R63-M1-N7-C:J10-U01 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 22, bit 2
- 1131653409 2005.11.10 R55-M0-N9-C:J06-U11 2005-11-10-12.10.09.754398 R55-M0-N9-C:J06-U11 RAS KERNEL INFO 5 torus receiver x+ input pipe error(s) (dcr 0x02ec) detected and corrected
- 1131653409 2005.11.10 R55-M0-N9-C:J02-U11 2005-11-10-12.10.09.855854 R55-M0-N9-C:J02-U11 RAS KERNEL INFO 1 torus sender x- retransmission error(s) (dcr 0x02f5) detected and corrected
- 1131653410 2005.11.10 R11-M0-N9-C:J06-U11 2005-11-10-12.10.10.819627 R11-M0-N9-C:J06-U11 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 35, bit 3
- 1131653411 2005.11.10 R65-M1-N6-C:J17-U01 2005-11-10-12.10.11.811292 R65-M1-N6-C:J17-U01 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
- 1131653412 2005.11.10 R30-M1-N2-C:J13-U01 2005-11-10-12.10.12.241765 R30-M1-N2-C:J13-U01 RAS KERNEL INFO CE sym 34, at 0x1f00f380, mask 0x40
- 1131653412 2005.11.10 R50-M0-N2-C:J13-U11 2005-11-10-12.10.12.344049 R50-M0-N2-C:J13-U11 RAS KERNEL INFO CE sym 15, at 0x1e7e56c0, mask 0x10
- 1131653413 2005.11.10 R35-M1-N8-C:J03-U01 2005-11-10-12.10.13.588308 R35-M1-N8-C:J03-U01 RAS KERNEL INFO CE sym 14, at 0x1c007240, mask 0x04
- 1131653414 2005.11.10 R63-M1-N7-C:J10-U01 2005-11-10-12.10.14.000755 R63-M1-N7-C:J10-U01 RAS KERNEL INFO CE sym 22, at 0x1e360080, mask 0x20
- 1131653414 2005.11.10 R55-M0-N9-C:J06-U11 2005-11-10-12.10.14.713059 R55-M0-N9-C:J06-U11 RAS KERNEL INFO 1 torus receiver y+ input pipe error(s) (dcr 0x02ee) detected and corrected
- 1131653415 2005.11.10 R11-M0-N9-C:J06-U11 2005-11-10-12.10.15.634057 R11-M0-N9-C:J06-U11 RAS KERNEL INFO CE sym 35, at 0x1c65ff60, mask 0x10
- 1131653416 2005.11.10 R30-M1-N2-C:J13-U01 2005-11-10-12.10.16.562027 R30-M1-N2-C:J13-U01 RAS KERNEL INFO CE sym 34, at 0x1f00f380, mask 0x40
- 1131653416 2005.11.10 R50-M0-N2-C:J13-U11 2005-11-10-12.10.16.666240 R50-M0-N2-C:J13-U11 RAS KERNEL INFO CE sym 15, at 0x1e7e56c0, mask 0x10
- 1131653417 2005.11.10 R35-M1-N8-C:J03-U01 2005-11-10-12.10.17.921263 R35-M1-N8-C:J03-U01 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
- 1131653418 2005.11.10 R63-M1-N7-C:J10-U01 2005-11-10-12.10.18.351388 R63-M1-N7-C:J10-U01 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
- 1131653419 2005.11.10 R55-M0-N9-C:J06-U11 2005-11-10-12.10.19.171588 R55-M0-N9-C:J06-U11 RAS KERNEL INFO 6 torus receiver z- input pipe error(s) (dcr 0x02f1) detected and corrected
- 1131653420 2005.11.10 R11-M0-N9-C:J06-U11 2005-11-10-12.10.20.254568 R11-M0-N9-C:J06-U11 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
- 1131653421 2005.11.10 R30-M1-N2-C:J13-U01 2005-11-10-12.10.21.122307 R30-M1-N2-C:J13-U01 RAS KERNEL INFO total of 2 ddr error(s) detected and corrected
- 1131653421 2005.11.10 R50-M0-N2-C:J13-U11 2005-11-10-12.10.21.242244 R50-M0-N2-C:J13-U11 RAS KERNEL INFO CE sym 15, at 0x1e7e56c0, mask 0x10
- 1131653423 2005.11.10 R55-M0-N9-C:J06-U11 2005-11-10-12.10.23.019097 R55-M0-N9-C:J06-U11 RAS KERNEL INFO 1 torus sender x+ retransmission error(s) (dcr 0x02f4) detected and corrected
- 1131653423 2005.11.10 R50-M0-N2-C:J13-U11 2005-11-10-12.10.23.985854 R50-M0-N2-C:J13-U11 RAS KERNEL INFO CE sym 15, at 0x1e7e56c0, mask 0x10
- 1131653425 2005.11.10 R55-M0-N9-C:J06-U11 2005-11-10-12.10.25.673117 R55-M0-N9-C:J06-U11 RAS KERNEL INFO 17 tree receiver 1 in re-synch state event(s) (dcr 0x0185) detected
- 1131653426 2005.11.10 R50-M0-N2-C:J13-U11 2005-11-10-12.10.26.650007 R50-M0-N2-C:J13-U11 RAS KERNEL INFO total of 4 ddr error(s) detected and corrected
- 1131653428 2005.11.10 R55-M0-N9-C:J06-U11 2005-11-10-12.10.28.248173 R55-M0-N9-C:J06-U11 RAS KERNEL INFO 27 tree receiver 2 in re-synch state event(s) (dcr 0x019a) detected
- 1131656530 2005.11.10 R65-M1-N6-C:J17-U01 2005-11-10-13.02.10.834309 R65-M1-N6-C:J17-U01 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 15, bit 7
- 1131656531 2005.11.10 R65-M1-N6-C:J17-U01 2005-11-10-13.02.11.127209 R65-M1-N6-C:J17-U01 RAS KERNEL INFO CE sym 15, at 0x0ea34280, mask 0x01
- 1131656531 2005.11.10 R65-M1-N6-C:J17-U01 2005-11-10-13.02.11.376421 R65-M1-N6-C:J17-U01 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
- 1131658701 2005.11.10 R65-M1-N6-C:J17-U01 2005-11-10-13.38.21.401160 R65-M1-N6-C:J17-U01 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 15, bit 7
- 1131658701 2005.11.10 R30-M0-N7-C:J09-U01 2005-11-10-13.38.21.548172 R30-M0-N7-C:J09-U01 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 26, bit 3
- 1131658701 2005.11.10 R55-M0-N9-C:J06-U11 2005-11-10-13.38.21.835582 R55-M0-N9-C:J06-U11 RAS KERNEL INFO 1 tree receiver 2 in re-synch state event(s) (dcr 0x019a) detected
- 1131658702 2005.11.10 R65-M1-N6-C:J17-U01 2005-11-10-13.38.22.094685 R65-M1-N6-C:J17-U01 RAS KERNEL INFO CE sym 15, at 0x0ea34280, mask 0x01
- 1131658702 2005.11.10 R30-M0-N7-C:J09-U01 2005-11-10-13.38.22.186568 R30-M0-N7-C:J09-U01 RAS KERNEL INFO CE sym 26, at 0x07a95e80, mask 0x10
- 1131658702 2005.11.10 R65-M1-N6-C:J17-U01 2005-11-10-13.38.22.654521 R65-M1-N6-C:J17-U01 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
- 1131658702 2005.11.10 R30-M0-N7-C:J09-U01 2005-11-10-13.38.22.807564 R30-M0-N7-C:J09-U01 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
- 1131660709 2005.11.10 R65-M1-N6-C:J17-U01 2005-11-10-14.11.49.027604 R65-M1-N6-C:J17-U01 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 15, bit 7
- 1131660709 2005.11.10 R30-M0-N7-C:J09-U01 2005-11-10-14.11.49.287897 R30-M0-N7-C:J09-U01 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 26, bit 3
- 1131660709 2005.11.10 R55-M0-N9-C:J06-U11 2005-11-10-14.11.49.617296 R55-M0-N9-C:J06-U11 RAS KERNEL INFO 1 tree receiver 1 in re-synch state event(s) (dcr 0x0185) detected
- 1131660709 2005.11.10 R65-M1-N6-C:J17-U01 2005-11-10-14.11.49.885392 R65-M1-N6-C:J17-U01 RAS KERNEL INFO CE sym 15, at 0x0ea34280, mask 0x01
- 1131660710 2005.11.10 R30-M0-N7-C:J09-U01 2005-11-10-14.11.50.080951 R30-M0-N7-C:J09-U01 RAS KERNEL INFO CE sym 26, at 0x07a95e80, mask 0x10
- 1131660710 2005.11.10 R55-M0-N9-C:J06-U11 2005-11-10-14.11.50.386197 R55-M0-N9-C:J06-U11 RAS KERNEL INFO 1 tree receiver 2 in re-synch state event(s) (dcr 0x019a) detected
- 1131660710 2005.11.10 R65-M1-N6-C:J17-U01 2005-11-10-14.11.50.667024 R65-M1-N6-C:J17-U01 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
- 1131660710 2005.11.10 R30-M0-N7-C:J09-U01 2005-11-10-14.11.50.751542 R30-M0-N7-C:J09-U01 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
- 1131662589 2005.11.10 R65-M1-N6-C:J17-U01 2005-11-10-14.43.09.563157 R65-M1-N6-C:J17-U01 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 15, bit 7
- 1131662589 2005.11.10 R30-M0-N7-C:J09-U01 2005-11-10-14.43.09.709505 R30-M0-N7-C:J09-U01 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 26, bit 3
- 1131662590 2005.11.10 R65-M1-N6-C:J17-U01 2005-11-10-14.43.10.147896 R65-M1-N6-C:J17-U01 RAS KERNEL INFO CE sym 15, at 0x0ea34280, mask 0x01
- 1131662590 2005.11.10 R30-M0-N7-C:J09-U01 2005-11-10-14.43.10.286861 R30-M0-N7-C:J09-U01 RAS KERNEL INFO CE sym 26, at 0x07a95e80, mask 0x10
- 1131662590 2005.11.10 R65-M1-N6-C:J17-U01 2005-11-10-14.43.10.761633 R65-M1-N6-C:J17-U01 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
- 1131662590 2005.11.10 R30-M0-N7-C:J09-U01 2005-11-10-14.43.10.843255 R30-M0-N7-C:J09-U01 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
- 1131664859 2005.11.10 R65-M1-N6-C:J17-U01 2005-11-10-15.20.59.939644 R65-M1-N6-C:J17-U01 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 15, bit 7
- 1131664860 2005.11.10 R30-M0-N7-C:J09-U01 2005-11-10-15.21.00.190218 R30-M0-N7-C:J09-U01 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 26, bit 3
- 1131664860 2005.11.10 R65-M1-N6-C:J17-U01 2005-11-10-15.21.00.553653 R65-M1-N6-C:J17-U01 RAS KERNEL INFO CE sym 15, at 0x0ea34280, mask 0x01
- 1131664860 2005.11.10 R30-M0-N7-C:J09-U01 2005-11-10-15.21.00.756733 R30-M0-N7-C:J09-U01 RAS KERNEL INFO CE sym 26, at 0x07a95e80, mask 0x10
- 1131664861 2005.11.10 R65-M1-N6-C:J17-U01 2005-11-10-15.21.01.037270 R65-M1-N6-C:J17-U01 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
- 1131664861 2005.11.10 R30-M0-N7-C:J09-U01 2005-11-10-15.21.01.125819 R30-M0-N7-C:J09-U01 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
- 1131666624 2005.11.10 R65-M1-N6-C:J17-U01 2005-11-10-15.50.24.951496 R65-M1-N6-C:J17-U01 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 15, bit 7
- 1131666625 2005.11.10 R30-M0-N7-C:J09-U01 2005-11-10-15.50.25.099414 R30-M0-N7-C:J09-U01 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 26, bit 3
- 1131666625 2005.11.10 R55-M0-N9-C:J06-U11 2005-11-10-15.50.25.333068 R55-M0-N9-C:J06-U11 RAS KERNEL INFO 1 tree receiver 1 in re-synch state event(s) (dcr 0x0185) detected
- 1131666625 2005.11.10 R65-M1-N6-C:J17-U01 2005-11-10-15.50.25.730969 R65-M1-N6-C:J17-U01 RAS KERNEL INFO CE sym 15, at 0x0ea34280, mask 0x01
- 1131666625 2005.11.10 R30-M0-N7-C:J09-U01 2005-11-10-15.50.25.815425 R30-M0-N7-C:J09-U01 RAS KERNEL INFO CE sym 26, at 0x07a95e80, mask 0x10
- 1131666626 2005.11.10 R55-M0-N9-C:J06-U11 2005-11-10-15.50.26.048421 R55-M0-N9-C:J06-U11 RAS KERNEL INFO 1 tree receiver 2 in re-synch state event(s) (dcr 0x019a) detected
- 1131666626 2005.11.10 R65-M1-N6-C:J17-U01 2005-11-10-15.50.26.457170 R65-M1-N6-C:J17-U01 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
- 1131666626 2005.11.10 R30-M0-N7-C:J09-U01 2005-11-10-15.50.26.551343 R30-M0-N7-C:J09-U01 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
- 1131668496 2005.11.10 R65-M1-N6-C:J17-U01 2005-11-10-16.21.36.433650 R65-M1-N6-C:J17-U01 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 15, bit 7
- 1131668496 2005.11.10 R30-M0-N7-C:J09-U01 2005-11-10-16.21.36.683679 R30-M0-N7-C:J09-U01 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 26, bit 3
- 1131668497 2005.11.10 R65-M1-N6-C:J17-U01 2005-11-10-16.21.37.058972 R65-M1-N6-C:J17-U01 RAS KERNEL INFO CE sym 15, at 0x0ea34280, mask 0x01
- 1131668497 2005.11.10 R30-M0-N7-C:J09-U01 2005-11-10-16.21.37.243514 R30-M0-N7-C:J09-U01 RAS KERNEL INFO CE sym 26, at 0x07a95e80, mask 0x10
- 1131668497 2005.11.10 R65-M1-N6-C:J17-U01 2005-11-10-16.21.37.619523 R65-M1-N6-C:J17-U01 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
- 1131668497 2005.11.10 R30-M0-N7-C:J09-U01 2005-11-10-16.21.37.789991 R30-M0-N7-C:J09-U01 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
- 1131669340 2005.11.10 R65-M1-N6-C:J17-U01 2005-11-10-16.35.40.066127 R65-M1-N6-C:J17-U01 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 15, bit 7
- 1131669340 2005.11.10 R65-M1-N6-C:J17-U01 2005-11-10-16.35.40.410227 R65-M1-N6-C:J17-U01 RAS KERNEL INFO CE sym 15, at 0x0ea34280, mask 0x01
- 1131669340 2005.11.10 R65-M1-N6-C:J17-U01 2005-11-10-16.35.40.702205 R65-M1-N6-C:J17-U01 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
- 1131669340 2005.11.10 R30-M0-N7-C:J09-U01 2005-11-10-16.35.40.798041 R30-M0-N7-C:J09-U01 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 26, bit 3
- 1131669341 2005.11.10 R30-M0-N7-C:J09-U01 2005-11-10-16.35.41.183251 R30-M0-N7-C:J09-U01 RAS KERNEL INFO CE sym 26, at 0x07a95e80, mask 0x10
- 1131669341 2005.11.10 R30-M0-N7-C:J09-U01 2005-11-10-16.35.41.595911 R30-M0-N7-C:J09-U01 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
- 1131670869 2005.11.10 R65-M1-N6-C:J17-U01 2005-11-10-17.01.09.485675 R65-M1-N6-C:J17-U01 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 15, bit 7
- 1131670869 2005.11.10 R30-M0-N7-C:J09-U01 2005-11-10-17.01.09.643575 R30-M0-N7-C:J09-U01 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 26, bit 3
- 1131670869 2005.11.10 R55-M0-N9-C:J06-U11 2005-11-10-17.01.09.974818 R55-M0-N9-C:J06-U11 RAS KERNEL INFO 1 tree receiver 1 in re-synch state event(s) (dcr 0x0185) detected
- 1131670870 2005.11.10 R65-M1-N6-C:J17-U01 2005-11-10-17.01.10.277389 R65-M1-N6-C:J17-U01 RAS KERNEL INFO CE sym 15, at 0x0ea34280, mask 0x01
- 1131670870 2005.11.10 R30-M0-N7-C:J09-U01 2005-11-10-17.01.10.361320 R30-M0-N7-C:J09-U01 RAS KERNEL INFO CE sym 26, at 0x07a95e80, mask 0x10
- 1131670870 2005.11.10 R55-M0-N9-C:J06-U11 2005-11-10-17.01.10.690988 R55-M0-N9-C:J06-U11 RAS KERNEL INFO 1 tree receiver 2 in re-synch state event(s) (dcr 0x019a) detected
- 1131670870 2005.11.10 R65-M1-N6-C:J17-U01 2005-11-10-17.01.10.994510 R65-M1-N6-C:J17-U01 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
- 1131670871 2005.11.10 R30-M0-N7-C:J09-U01 2005-11-10-17.01.11.085613 R30-M0-N7-C:J09-U01 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
- 1131672107 2005.11.10 R65-M1-N6-C:J17-U01 2005-11-10-17.21.47.489377 R65-M1-N6-C:J17-U01 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 15, bit 7
- 1131672107 2005.11.10 R30-M0-N7-C:J09-U01 2005-11-10-17.21.47.631947 R30-M0-N7-C:J09-U01 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 26, bit 3
- 1131672108 2005.11.10 R65-M1-N6-C:J17-U01 2005-11-10-17.21.48.065257 R65-M1-N6-C:J17-U01 RAS KERNEL INFO CE sym 15, at 0x0ea34280, mask 0x01
- 1131672108 2005.11.10 R30-M0-N7-C:J09-U01 2005-11-10-17.21.48.274836 R30-M0-N7-C:J09-U01 RAS KERNEL INFO CE sym 26, at 0x07a95e80, mask 0x10
- 1131672108 2005.11.10 R65-M1-N6-C:J17-U01 2005-11-10-17.21.48.719377 R65-M1-N6-C:J17-U01 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
- 1131672108 2005.11.10 R30-M0-N7-C:J09-U01 2005-11-10-17.21.48.920853 R30-M0-N7-C:J09-U01 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
- 1131673622 2005.11.10 R65-M1-N6-C:J17-U01 2005-11-10-17.47.02.872041 R65-M1-N6-C:J17-U01 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 15, bit 7
- 1131673623 2005.11.10 R30-M0-N7-C:J09-U01 2005-11-10-17.47.03.108350 R30-M0-N7-C:J09-U01 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 26, bit 3
- 1131673623 2005.11.10 R55-M0-N9-C:J06-U11 2005-11-10-17.47.03.205375 R55-M0-N9-C:J06-U11 RAS KERNEL INFO 1 tree receiver 1 in re-synch state event(s) (dcr 0x0185) detected
- 1131673623 2005.11.10 R04-M0-N0-C:J08-U01 2005-11-10-17.47.03.293421 R04-M0-N0-C:J08-U01 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 12, bit 5
- 1131673623 2005.11.10 R65-M1-N6-C:J17-U01 2005-11-10-17.47.03.577952 R65-M1-N6-C:J17-U01 RAS KERNEL INFO CE sym 15, at 0x0ea34280, mask 0x01
- 1131673623 2005.11.10 R30-M0-N7-C:J09-U01 2005-11-10-17.47.03.764509 R30-M0-N7-C:J09-U01 RAS KERNEL INFO CE sym 26, at 0x07a95e80, mask 0x10
- 1131673623 2005.11.10 R55-M0-N9-C:J06-U11 2005-11-10-17.47.03.866097 R55-M0-N9-C:J06-U11 RAS KERNEL INFO 1 tree receiver 2 in re-synch state event(s) (dcr 0x019a) detected
- 1131673623 2005.11.10 R04-M0-N0-C:J08-U01 2005-11-10-17.47.03.967281 R04-M0-N0-C:J08-U01 RAS KERNEL INFO CE sym 12, at 0x18799540, mask 0x04
- 1131673624 2005.11.10 R65-M1-N6-C:J17-U01 2005-11-10-17.47.04.270667 R65-M1-N6-C:J17-U01 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
- 1131673624 2005.11.10 R30-M0-N7-C:J09-U01 2005-11-10-17.47.04.470849 R30-M0-N7-C:J09-U01 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
- 1131673624 2005.11.10 R04-M0-N0-C:J08-U01 2005-11-10-17.47.04.578589 R04-M0-N0-C:J08-U01 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
KERNMC 1131678522 2005.11.10 R06-M0-N1-C:J07-U11 2005-11-10-19.08.42.823869 R06-M0-N1-C:J07-U11 RAS KERNEL FATAL machine check interrupt
- 1131678522 2005.11.10 R06-M0-N1-C:J07-U11 2005-11-10-19.08.42.952446 R06-M0-N1-C:J07-U11 RAS KERNEL FATAL instruction address: 0x0014c9bc
- 1131678523 2005.11.10 R06-M0-N1-C:J07-U11 2005-11-10-19.08.43.117186 R06-M0-N1-C:J07-U11 RAS KERNEL FATAL machine check status register: 0x81000000
- 1131678523 2005.11.10 R06-M0-N1-C:J07-U11 2005-11-10-19.08.43.269604 R06-M0-N1-C:J07-U11 RAS KERNEL FATAL summary...........................1
- 1131678523 2005.11.10 R06-M0-N1-C:J07-U11 2005-11-10-19.08.43.427346 R06-M0-N1-C:J07-U11 RAS KERNEL FATAL instruction plb error.............0
- 1131678523 2005.11.10 R06-M0-N1-C:J07-U11 2005-11-10-19.08.43.597337 R06-M0-N1-C:J07-U11 RAS KERNEL FATAL data read plb error...............0
- 1131678523 2005.11.10 R06-M0-N1-C:J07-U11 2005-11-10-19.08.43.720271 R06-M0-N1-C:J07-U11 RAS KERNEL FATAL data write plb error..............0
- 1131678523 2005.11.10 R06-M0-N1-C:J07-U11 2005-11-10-19.08.43.881942 R06-M0-N1-C:J07-U11 RAS KERNEL FATAL tlb error.........................0
- 1131678524 2005.11.10 R06-M0-N1-C:J07-U11 2005-11-10-19.08.44.050640 R06-M0-N1-C:J07-U11 RAS KERNEL FATAL i-cache parity error..............0
- 1131678524 2005.11.10 R06-M0-N1-C:J07-U11 2005-11-10-19.08.44.226500 R06-M0-N1-C:J07-U11 RAS KERNEL FATAL d-cache search parity error.......0
- 1131678524 2005.11.10 R06-M0-N1-C:J07-U11 2005-11-10-19.08.44.381959 R06-M0-N1-C:J07-U11 RAS KERNEL FATAL d-cache flush parity error........1
